All Options,جميع الخيارات
Search workspaces & options…,ابحث في مساحات العمل والخيارات…
Loading…,جارٍ التحميل…
No workspaces found.,لم يتم العثور على مساحات عمل.
All Workspaces,جميع مساحات العمل
General,عام
"No results for ""{0}""","لا توجد نتائج لـ ""{0}"""
Appearance,المظهر
Density,الكثافة
Compact,مضغوط
Comfortable,مريح
Today's View,نظرة اليوم
Good morning,صباح الخير
Good afternoon,طاب نهارك
Good evening,مساء الخير
Recent Documents,المستندات الأخيرة
Quick Create,إنشاء سريع
Needs Attention,يتطلب الانتباه
Unpaid Invoices,فواتير غير مدفوعة
Open Orders,طلبات مفتوحة
Open Tasks,مهام مفتوحة
My ToDos,مهامي
No recent documents yet. Start by opening any record.,لا توجد مستندات حديثة بعد. ابدأ بفتح أي سجل.
No create permissions found.,لم يتم العثور على صلاحيات إنشاء.
All clear!,لا شيء معلق!
All clear — nothing needs attention.,كل شيء على ما يرام — لا شيء يتطلب الانتباه.
{0} overdue sales invoices,{0} فواتير مبيعات متأخرة
{0} pending purchase orders,{0} أوامر شراء معلقة
{0} leave applications awaiting approval,{0} طلبات إجازة بانتظار الموافقة
{0} expense claims pending,{0} مطالبات مصاريف معلقة
Dismiss,إغلاق
Solvronix Desk Setup,إعداد Solvronix Desk
Set your company name,حدد اسم شركتك
Choose a brand color,اختر لون العلامة التجارية
Upload your logo,قم برفع شعارك
Open Theme Settings,فتح إعدادات المظهر
To-Do,المهام
Activity,النشاط
Notifications,الإشعارات
Change language,تغيير اللغة
Account,الحساب
Close,إغلاق
Home,الرئيسية
